method,mean_cost_ev,mean_cost_ch,delta_cost_ev_minus_ch,mean_saving_ev,mean_saving_ch,better_case
Transformer,2470.187017160353,2538.929238738092,-68.74222157773875,41.8575293261532,40.239496936551625,EV
iTransformer,2412.993327539281,2337.5831738424545,75.41015369682646,43.20373607018549,44.97871610990262,Charger
Perfect,2259.20932116876,2131.3256930468738,127.88362812188643,46.8234547467023,49.833538617311206,Charger
iT-CP95,2659.928341358365,2458.0605086733376,201.86783268502722,37.39145882170944,42.14295919813632,Charger
LSTM,3014.0113475084245,2758.417045804394,255.59430170403039,29.057166455112117,35.073263247780275,Charger
TCN,2652.8961380797514,2392.002569890574,260.8935681891776,37.556980569681926,43.697809799232445,Charger
TFT-Quantile,2517.3504862642485,2243.1205596519653,274.2299266122832,40.747410699425714,47.20214686117391,Charger
ITCN-ChargerAware,2626.796465564759,2340.3958016478896,286.40066391686923,38.1713063001865,44.912513377656886,Charger
Persistence,3181.4432805064966,2829.6403369885893,351.80294351790735,25.116207253813737,33.39683223660429,Charger
DeepAR-Gaussian,2704.7180510771955,2333.7415280756577,370.97652300153777,36.33721298294258,45.06913953727212,Charger
Statistic,3080.4265410434427,2687.5150315444275,392.9115094990152,27.49390690610567,36.74213214563635,Charger
iT-CP90,2624.933466707933,2133.621169008523,491.31229769941,38.21515697045799,49.779508439492474,Charger
GMM,2960.9713211288854,2461.247505309772,499.7238158191135,30.305605604410836,42.06794469227735,Charger
Noforecast,3158.9875831776676,2613.131636214555,545.8559469631127,25.644762263751048,38.492944675839006,Charger
