method,type,mae_energy,rmse_energy,mape_energy,picp90,pinaw90,pinball_p10,pinball_p50,pinball_p90
Perfect,deterministic,0.0,0.0,0.0,,,,,
Transformer,deterministic,6.393083569585301,11.475675240633414,191174.94691069977,,,,,
iTransformer,deterministic,6.5660603525290595,11.507050406551064,213709.80884534743,,,,,
LSTM,deterministic,6.962404400126488,11.845378556820382,230684.94796782656,,,,,
TFT-Quantile,probabilistic,6.09740000697233,11.85813172541503,89465.4484048266,0.6041666666666666,2.0324507812499997,2.643215681850943,3.1510246112314717,4.396300609371571
TCN,deterministic,6.549080020745168,12.138667493400815,182076.66941372826,,,,,
iT-CP95,probabilistic,6.2683823740434335,12.189667467316687,91903.29000428203,0.96875,38.547804255421944,0.7408208333333334,3.291878915537415,3.5332642864743113
ITCN-ChargerAware,hybrid,6.172166320301578,12.23869233357598,102812.86330011346,,,,,
iT-CP90,probabilistic,6.164633597301232,12.591230134861158,87120.70993679912,0.9375,27.116299735005708,0.7408208333333334,3.291878915537415,2.935622050598924
DeepAR-Gaussian,probabilistic,6.499357775319133,12.616602129158608,69038.46845917986,0.0625,2.4389409375000004,1.4415895282473155,3.254161320115213,4.108877645002685
Persistence,deterministic,7.6821979166666665,13.040757028048,200802.9309195689,,,,,
Noforecast,deterministic,7.408208333333334,14.673389060501098,41.66666666666667,,,,,
Statistic,deterministic,8.03946875,14.855589705912609,41450.35657575852,,,,,
GMM,deterministic,8.932181284051609,14.85867368497573,220800.0087210548,,,,,
