method,type,session_count_error_pct,total_energy_error_pct,arrival_time_w1_bins,departure_time_w1_bins,arrival_energy_mae,arrival_energy_rmse,arrival_energy_mape,picp90,pinaw90,pinball_p10,pinball_p50,pinball_p90
Perfect,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Transformer,deterministic,1.4705882352941175,11.746025757547514,5.223785166240402,4.984441602728043,6.393083569585301,11.475675240633414,191174.94691069977,,,,,
iTransformer,deterministic,7.352941176470589,6.590772096229293,4.653102336825155,5.749999999999993,6.5660603525290595,11.507050406551064,213709.80884534743,,,,,
LSTM,deterministic,14.705882352941178,0.7012173481975916,5.3695324283559485,6.670060331825031,6.962404400126488,11.845378556820382,230684.94796782656,,,,,
TFT-Quantile,probabilistic,29.411764705882355,40.16557930672234,4.034313725490231,2.120098039215686,6.09740000697233,11.85813172541503,89465.4484048266,0.6041666666666666,2.0324507812499997,2.643215681850943,3.1510246112314717,4.396300609371571
TCN,deterministic,0.0,14.718921173298034,5.294117647058826,6.0147058823529385,6.549080020745168,12.138667493400815,182076.66941372826,,,,,
iT-CP95,probabilistic,32.35294117647059,51.212298071322515,3.5907928388746813,1.5134271099744234,6.2683823740434335,12.189667467316687,91903.29000428203,0.96875,38.547804255421944,0.7408208333333334,3.291878915537415,3.5332642864743113
ITCN-ChargerAware,hybrid,35.294117647058826,46.0751264230412,3.512032085561497,2.9117647058823524,6.172166320301578,12.23869233357598,102812.86330011346,,,,,
iT-CP90,probabilistic,35.294117647058826,50.33869755352608,3.512032085561497,7.576203208556146,6.164633597301232,12.591230134861158,87120.70993679912,0.9375,27.116299735005708,0.7408208333333334,3.291878915537415,2.935622050598924
DeepAR-Gaussian,probabilistic,42.64705882352941,52.338090861739715,7.661387631975892,5.771116138763222,6.499357775319133,12.616602129158608,69038.46845917986,0.0625,2.4389409375000004,1.4415895282473155,3.254161320115213,4.108877645002685
Persistence,deterministic,13.23529411764706,8.292462752464875,4.208556149732606,3.569709702062628,7.6821979166666665,13.040757028048,200802.9309195689,,,,,
Noforecast,deterministic,100.0,100.0,,,7.408208333333334,14.673389060501098,41.66666666666667,,,,,
Statistic,deterministic,63.23529411764706,74.59307524873873,3.8717647058823594,4.2864705882352805,8.03946875,14.855589705912609,41450.35657575852,,,,,
GMM,deterministic,26.47058823529412,25.93343132345823,5.982352941176468,5.525294117647045,8.932181284051609,14.85867368497573,220800.0087210548,,,,,
