interval,actual_arrival_energy,cp_p50,cp_q10,cp_q90,tft_q10,tft_p50,tft_q90,deepar_q10,deepar_p50,deepar_q90
1,0.0,0.0,0.0,22.857277,0.0,0.0,0.70330536,0.0,0.2062366,1.3397055
2,0.0,1.2373929,0.0,24.09467,0.0,0.3862238,13.831588,0.0,0.07047482,1.2638134
3,0.0,2.1744251,0.0,25.031702,0.0,0.0,0.539732,0.0,0.05833616,1.180674
4,34.028,7.2717447,0.0,30.12902,0.0,0.0,2.639052,0.0,0.07063291,1.2977581
5,0.0,2.5191045,0.0,25.37638,0.0,0.0,0.057228833,0.0,0.09712176,1.4232669
6,39.605,3.7876399,0.0,26.644917,0.0,0.38342682,1.1574131,0.0,0.13219371,1.1699567
7,0.0,0.0,0.0,22.857277,0.0,0.0,0.6518035,0.0,0.1169855,1.346534
8,0.0,1.9704468,0.0,24.827724,0.25403303,0.6052246,1.503807,0.0,0.0,1.1751028
9,0.0,0.0,0.0,22.857277,0.0,0.19803537,1.4618154,0.0,0.034818865,1.1943402
10,0.0,0.23430848,0.0,23.091585,0.0,0.0,0.91291094,0.0,0.18410292,1.4560642
11,0.0,1.4887835,0.0,24.34606,0.0,0.0,2.7551107,0.0,0.07516906,1.3447249
12,12.437,6.1480494,0.0,29.005325,0.24955817,0.30938908,0.7293389,0.0,0.27951732,1.4304683
13,0.0,0.9387375,0.0,23.796015,0.0,0.08191897,1.2353371,0.0,0.09288089,1.1954658
14,0.0,5.268971,0.0,28.126247,0.0,0.11268792,0.29118475,0.0,0.28048807,1.4305745
15,0.0,5.4765997,0.0,28.333878,0.0,0.16003872,1.3763825,0.0,0.07402299,1.2574018
16,0.0,2.479526,0.0,25.336803,0.0,0.0,1.3666936,0.0,0.17452136,1.1997588
17,0.0,0.0,0.0,22.857277,0.0,0.119415715,6.2862782,0.0,0.08990071,1.1203611
18,15.453,0.0,0.0,22.857277,0.0,0.0,1.6536098,0.0,0.018397382,1.1567602
19,0.0,0.045082837,0.0,22.902359,0.0,0.0,0.4831204,0.0,0.04555724,1.2853588
20,0.0,1.0347184,0.0,23.891994,0.0,0.0,6.33223,0.0,0.1180283,1.2480922
21,0.0,1.5274954,0.0,24.384773,0.0,0.0,22.546383,0.0,0.0,1.177372
22,0.0,1.4488903,0.0,24.306168,0.0,0.0,31.473257,0.0,0.10981335,1.2526892
23,0.0,0.0,0.0,22.857277,0.0,0.4358334,27.047564,0.0,0.0,1.1288444
24,0.0,6.106122,0.0,28.963398,0.0,0.047141008,38.15757,0.0,0.09967257,1.1551751
25,0.0,10.221449,0.0,33.078728,0.08749647,8.615923,52.28195,0.0,0.026234025,1.2327957
26,0.0,7.128427,0.0,29.985704,0.0,0.93074685,33.163666,0.0,0.13894582,1.1614369
27,0.0,4.777851,0.0,27.635128,0.0,16.932604,39.79871,0.0,0.064045735,1.2248942
28,13.704,16.852333,0.0,39.70961,0.6077818,20.821655,53.48343,0.0,0.0,1.1557298
29,27.83,29.396526,6.5392494,52.253803,0.0,15.13637,45.093914,0.0,0.062321506,1.1402763
30,16.664,8.757881,0.0,31.615158,0.11670939,28.089933,45.70291,0.0,0.0026142672,1.288676
31,0.0,7.531449,0.0,30.388725,0.0,41.154144,48.73649,0.0,0.11896278,1.3571701
32,3.142,2.6819735,0.0,25.53925,0.0,39.984955,66.072784,0.0,0.120672405,1.2333633
33,0.0,16.212833,0.0,39.07011,0.25404617,37.37067,57.99875,0.0,0.11757327,1.2412524
34,7.124,5.716376,0.0,28.573652,0.0,31.623642,52.82225,0.0,0.0,1.1914383
35,9.223,15.0617695,0.0,37.919044,0.0,31.349174,46.8636,0.0,0.11008841,1.3481156
36,79.937,12.169877,0.0,35.027153,0.05047769,29.622875,52.557392,0.0,0.09939618,1.193661
37,3.395,9.3611965,0.0,32.218475,0.027836647,20.162865,47.430042,0.0,0.020738166,1.2228802
38,5.243,11.467693,0.0,34.32497,0.13677679,39.323307,39.73927,0.0,0.15909445,1.4980476
39,0.0,15.380985,0.0,38.238262,0.0,36.335564,39.16157,0.0,0.1741769,1.3379608
40,18.292,20.490963,0.0,43.34824,0.014212638,35.261658,57.08068,0.0,0.0,1.2471817
41,24.172,22.890179,0.032901764,45.747456,0.0,29.100206,30.038956,0.0,0.12624742,1.2586553
42,13.181,17.692204,0.0,40.54948,0.0,31.077969,43.259727,0.0,0.19733784,1.37933
43,8.412,9.752953,0.0,32.61023,0.0,25.46399,47.531982,0.0,0.050650213,1.2934093
44,12.933,17.015507,0.0,39.872784,0.0,25.683912,54.089306,0.0,0.21537444,1.3819399
45,4.18,14.482974,0.0,37.340252,0.0,24.41468,41.647617,0.0,0.120982334,1.2628545
46,4.433,22.521957,0.0,45.379234,0.029732086,24.560797,31.745901,0.0,0.2137717,1.2783363
47,41.896,10.028568,0.0,32.885845,0.0,29.289295,50.36076,0.0,0.28657845,1.3736533
48,18.579,18.000666,0.0,40.85794,0.0,23.720078,36.922432,0.0,0.13220155,1.2272395
49,14.641,23.518393,0.66111565,46.37567,0.518766,19.741251,44.332573,0.0,0.0795205,1.3316475
50,22.213000000000005,20.31775,0.0,43.175026,0.0,43.217644,57.146614,0.0,0.07870908,1.3698665
51,14.975,17.130013,0.0,39.98729,0.0,24.107298,24.229877,0.0,0.19194767,1.2906057
52,17.464,15.771736,0.0,38.629013,0.0,29.018143,41.6686,0.0,0.25350106,1.36372
53,23.499,12.006102,0.0,34.86338,0.3351937,21.764912,38.34097,0.0,0.24647152,1.4067326
54,26.319000000000003,18.685045,0.0,41.54232,0.0,31.210403,46.31423,0.0,0.11172152,1.2351897
55,19.524,25.490871,2.6335945,48.34815,0.0,24.217567,53.8453,0.0,0.2040245,1.3959479
56,0.0,26.532583,3.6753063,49.389862,0.08201927,28.231995,47.214886,0.0,0.21789078,1.2961657
57,0.0,27.24673,4.389454,50.104008,0.0,29.655333,42.430256,0.0,0.24129602,1.2962185
58,19.169,16.96378,0.0,39.821056,0.33278435,25.11204,46.186382,0.0,0.19452342,1.353256
59,0.0,18.344282,0.0,41.20156,0.0,21.142633,36.708324,0.0,0.19798766,1.3438665
60,0.0,7.751577,0.0,30.608854,0.0,19.627993,29.63027,0.0,0.116882965,1.3860838
61,2.442,13.151769,0.0,36.009045,0.0,24.638075,38.861286,0.0,0.2397733,1.3790774
62,13.571,13.111052,0.0,35.96833,0.0,21.737127,46.382904,0.0,0.07991131,1.2857288
63,7.19,13.780116,0.0,36.637394,0.0,12.983088,39.70061,0.0,0.12331837,1.3847872
64,9.619,8.773446,0.0,31.630722,0.0,17.512777,40.592144,0.0,0.17387524,1.3502731
65,21.232,6.4864655,0.0,29.343742,0.0,15.077142,37.89949,0.0,0.25197452,1.359026
66,0.0,9.889067,0.0,32.746346,0.2032986,9.83056,37.237667,0.0,0.12273282,1.4151361
67,0.0,11.762833,0.0,34.62011,0.0,7.0318766,37.30175,0.0,0.27480406,1.3785139
68,4.096,19.037445,0.0,41.894722,0.0,15.2348175,40.550907,0.0,0.11532554,1.3553966
69,0.0,3.525066,0.0,26.382343,0.0,12.891678,39.728596,0.0,0.12702677,1.2412606
70,29.302,3.3925033,0.0,26.24978,0.0,20.798304,40.458267,0.0,0.29921234,1.520388
71,0.0,6.635897,0.0,29.493174,0.0,8.041556,36.91065,0.0,0.13573378,1.2762092
72,0.0,3.2886953,0.0,26.145973,0.0,2.3534136,45.26535,0.0,0.1903632,1.3982157
73,33.123,8.642548,0.0,31.499825,0.18976264,3.754928,29.965994,0.0,0.21529731,1.4256836
74,0.0,12.145132,0.0,35.00241,0.0,6.285125,29.552547,0.0,0.26153314,1.2908003
75,0.0,6.794477,0.0,29.651754,0.0,0.5196951,53.76348,0.0,0.13719448,1.216586
76,0.0,13.96838,0.0,36.825657,0.0,2.3725157,24.303722,0.0,0.15872851,1.3630837
77,0.0,7.564371,0.0,30.421648,0.0,0.0,34.75675,0.0,0.1290832,1.3045355
78,0.0,5.0947948,0.0,27.952072,0.0,0.47021788,24.897278,0.0,0.2212426,1.3662173
79,0.0,9.761755,0.0,32.619034,0.0,1.6664798,25.265028,0.0,0.21989104,1.3050683
80,0.0,8.984169,0.0,31.841446,0.113737226,0.21849716,18.580395,0.0,0.08602485,1.5211568
81,16.513,1.7188249,0.0,24.576101,0.0,0.0,26.17418,0.0,0.15908247,1.4490616
82,0.0,4.4899287,0.0,27.347206,0.029859211,0.5128701,26.051054,0.0,0.08649941,1.3068377
83,0.0,3.3318162,0.0,26.189093,0.0,0.6581065,34.52319,0.0,0.21332267,1.2182243
84,0.0,3.5043023,0.0,26.36158,0.0,0.06468526,18.76289,0.0,0.15132602,1.337406
85,0.0,1.7737691,0.0,24.631046,0.0,0.19602515,19.65841,0.0,0.1033992,1.2785405
86,0.0,2.172225,0.0,25.029503,0.0,0.08600929,15.345064,0.0,0.10048416,1.3962172
87,0.0,2.5503757,0.0,25.407652,0.0,0.21457005,11.385746,0.0,0.1284447,1.3189125
88,2.433,2.2594137,0.0,25.116692,0.0,0.5354172,3.4213877,0.0,0.1612151,1.2774104
89,0.0,1.5951126,0.0,24.452389,0.0,0.0,1.205809,0.0,0.24316859,1.3362864
90,0.0,0.0,0.0,22.857277,0.0,0.0,2.5442362,0.0,0.07654343,1.3945452
91,0.0,0.66442573,0.0,23.521702,0.0,0.0,0.1144771,0.0,0.17613557,1.3297713
92,0.0,0.3369705,0.0,23.194248,0.0,0.0,1.8542479,0.0,0.019309215,1.1622336
93,0.0,0.0,0.0,22.857277,0.0,0.13858783,0.22193652,0.0,0.13871744,1.3616414
94,0.0,0.039853755,0.0,22.897131,0.0,0.0,1.0801576,0.0,0.08098678,1.444653
95,0.0,0.0,0.0,22.857277,0.005395718,0.16350985,0.38735723,0.0,0.0686194,1.2646004
