method,case,mean_cost,mean_saving_pct,mean_peak,mean_energy,mean_optimal_ratio,dominance_pass_rate,rank_in_case
Perfect,Charger,2283.7426700539745,46.24599664001627,56.228966,711.1880000000001,0.9479166666666666,1.0,1
iT-CP90,Charger,2442.287886587698,42.51421012395417,52.877565,711.1880000000001,0.9479166666666666,1.0,2
iTransformer,Charger,2448.9990154254715,42.356245723312455,63.056594,711.1880000000001,0.9479166666666666,1.0,3
TFT-Quantile,Charger,2487.214691398998,41.45673738481981,59.019627,711.1880000000001,0.9479166666666666,1.0,4
TCN,Charger,2510.84589578919,40.90051366625138,58.710571,711.1880000000001,0.9479166666666666,1.0,5
ITCN-ChargerAware,Charger,2540.2674946761094,40.20799749699918,58.332714,711.1880000000001,0.9479166666666666,1.0,6
DeepAR-Gaussian,Charger,2580.440974288802,39.26240700363948,50.19171,711.1880000000001,0.9479166666666666,1.0,7
Transformer,Charger,2623.6438918360673,38.24551057067057,70.45556,711.1880000000001,0.9479166666666666,1.0,8
GMM,Charger,2685.752988300331,36.783606555037025,67.881873,711.1880000000001,0.9479166666666666,1.0,9
iT-CP95,Charger,2724.792761299234,35.864700884764446,64.626269,711.1880000000001,0.9479166666666666,1.0,10
Persistence,Charger,2881.010969413067,32.18768674742157,78.171178,711.1880000000001,0.9479166666666666,1.0,11
LSTM,Charger,2881.900518185888,32.16674883337806,72.262764,711.1880000000001,0.9479166666666666,1.0,12
Noforecast,Charger,2881.900518185888,32.16674883337806,68.428,711.1880000000001,0.9166666666666666,1.0,12
Statistic,Charger,2881.900518185888,32.16674883337806,62.328874,711.1880000000001,0.9479166666666666,1.0,12
Perfect,EV,2259.20932116876,46.8234547467023,59.954828,711.1880000000001,0.9479166666666666,1.0,1
iTransformer,EV,2412.993327539281,43.20373607018549,63.760635,711.1880000000001,0.9479166666666666,1.0,2
Transformer,EV,2470.187017160353,41.8575293261532,66.686875,711.1880000000001,0.9479166666666666,1.0,3
TFT-Quantile,EV,2517.3504862642485,40.747410699425714,65.556485,711.1880000000001,0.9479166666666666,1.0,4
iT-CP90,EV,2624.933466707933,38.21515697045799,67.791613,711.1880000000001,0.9479166666666666,1.0,5
ITCN-ChargerAware,EV,2626.796465564759,38.1713063001865,61.131916,711.1880000000001,0.9479166666666666,1.0,6
TCN,EV,2652.8961380797514,37.556980569681926,65.855336,711.1880000000001,0.9479166666666666,1.0,7
iT-CP95,EV,2659.928341358365,37.39145882170944,71.023739,711.1880000000001,0.9479166666666666,1.0,8
DeepAR-Gaussian,EV,2704.7180510771955,36.33721298294258,56.668962,711.1880000000001,0.9479166666666666,1.0,9
GMM,EV,2960.9713211288854,30.305605604410836,84.185523,711.1880000000001,0.9479166666666666,1.0,10
LSTM,EV,3014.0113475084245,29.057166455112117,80.094675,711.1880000000001,0.9479166666666666,1.0,11
Statistic,EV,3080.4265410434427,27.49390690610567,72.1625,711.1880000000001,0.9479166666666666,1.0,12
Noforecast,EV,3158.9875831776676,25.644762263751048,75.225482,711.1880000000001,0.9166666666666666,1.0,13
Persistence,EV,3158.9875831776676,25.644762263751048,85.150793,711.1880000000001,0.9479166666666666,1.0,13
