method,method_show,rmse_energy,dtw_energy,w1_energy,hungarian_peak_cost,crps_energy
Perfect,Perfect,0.0,0.0,0.0,0.0,0.0
Noforecast,NoForecast,14.673389060501098,3.7041041666666676,48.0,96.0,7.408208333333334
Persistence,Persistence,13.054713710766315,2.4134205164851013,8.3647485862198,10.583333333333334,7.704752627627264
Statistic,Statistic,14.504714888696128,1.9692827286170083,10.87268643343706,10.5,7.864756612827971
GMM,GMM,15.216826106206993,1.9005015760105557,7.007300866631173,7.0,8.54370166335219
LSTM,LSTM,15.264213234627666,2.2512286451588515,8.289238692131898,9.0,8.018973515503804
TCN,TCN,12.163493692603504,2.509000285314906,7.055714727702756,9.833333333333334,6.757376013112574
Transformer,Transformer,12.693813997152555,2.3955751089819244,8.100006171013352,12.0,7.098268574279442
iTransformer,iTransformer,13.084076037337738,1.975665589558332,7.086380480624997,7.833333333333333,7.243486810979992
iT-CP90,iT-CP90,12.502737738620503,2.832579836012332,5.990048728085265,10.333333333333334,6.024561934221151
iT-CP95,iT-CP95,12.527367906627559,2.843447760302856,5.990048728085265,10.333333333333334,6.024561934221151
TFT-Quantile,TFT,12.083531435156047,2.681245924901599,5.006508266639649,13.083333333333334,7.343235709559262
DeepAR-Gaussian,DeepAR,13.20571237487434,3.328185019490695,11.052531612256821,11.083333333333334,7.307881153602381
ITCN-ChargerAware,ITCN-ChargerAware,6.760782560170576,1.6393917564670935,1.8041124150158794e-16,0.0,3.413341355265606
