method_show,rmse_energy,dtw_energy,w1_energy,hungarian_peak_cost,crps_energy
Perfect,0.0,0.0,0.0,0.0,0.0
NoForecast,0.9612935062525035,1.0,1.0,1.0,0.867095859059604
Persistence,0.855249694832028,0.6515530902730914,0.17426559554624585,0.11024305555555557,0.9018049706342676
Statistic,0.9502432038744993,0.5316488521944486,0.22651430069660541,0.109375,0.9205326827554711
GMM,0.996895540720489,0.5130799487533909,0.14598543472148276,0.07291666666666667,1.0
LSTM,1.0,0.6077660194920321,0.17269247275274788,0.09375,0.9385830441506189
TCN,0.796863454777347,0.6773568378269343,0.14699405682714076,0.10243055555555557,0.7909190043582659
Transformer,0.831606175964312,0.6467353511652747,0.16875012856277816,0.125,0.8308188714883543
iTransformer,0.8571733004656819,0.5333720383291052,0.14763292667968744,0.08159722222222222,0.847815981455742
iT-CP90,0.8190882521384979,0.7647138710360237,0.12479268183510968,0.1076388888888889,0.7051465713114995
iT-CP95,0.8207018412327056,0.7676478933533021,0.12479268183510968,0.1076388888888889,0.7051465713114995
TFT,0.7916249104633787,0.7238581325628481,0.10430225555499269,0.13628472222222224,0.8594911197634311
DeepAR,0.8651420267712515,0.8985128035656018,0.23026107525535044,0.1154513888888889,0.8553530356694449
ITCN-ChargerAware,0.44291719830232634,0.44258791942732706,3.758567531283082e-18,0.0,0.39951551327066753
