Column,Component,MAE,MSE,RMSE,R2,MAE_rank,MSE_rank,RMSE_rank,R2_rank,grade
Arrival Time,2,0.007883534784491343,0.00012194819983385977,0.01104301588488669,0.9318227877838619,1,1,1,1,4
Arrival Time,5,0.007093155770688933,0.00011774303077465721,0.01085094607740068,0.9341737589646137,2,2,2,2,8
Arrival Time,3,0.007027168854572087,0.00011069635655606789,0.010521233604291271,0.938113321863232,3,3,3,3,12
Arrival Time,4,0.00660511647254025,9.120668797130595e-5,0.009550219262996318,0.9490093520870138,4,4,4,4,16
Arrival Time,1,0.015221695446414616,0.00045038023959338296,0.021222163876320033,0.7482072780529263,5,5,5,5,20
Departure Time,5,0.005766966083989112,6.566404373242633e-5,0.008103335346166191,0.9602668118165968,1,1,1,1,4
Departure Time,2,0.00691964196501537,0.00010277172609492775,0.010137639078943763,0.9378130236769681,4,2,2,2,10
Departure Time,4,0.007503368217461071,0.00010951349292034729,0.01046486946504099,0.9337335933717835,3,3,3,3,12
Departure Time,3,0.0072962826201298835,0.00011660084462676702,0.010798187099081355,0.9294450503112824,2,4,4,4,14
Departure Time,1,0.007909564171686732,0.00012548540242321538,0.011202026710520528,0.924069021258136,5,5,5,5,20
Energy Demand,4,0.0007836853230854812,2.095900570985224e-6,0.001447722546272325,0.9957713864707941,1,1,1,1,4
Energy Demand,5,0.0009420086295769171,4.022067287789199e-6,0.0020055092340323937,0.9918852218545238,2,2,2,2,8
Energy Demand,3,0.0015296400205844606,6.8098620913002e-6,0.0026095712466419076,0.9862606674333972,3,3,3,3,12
Energy Demand,2,0.0021549316321423516,1.4248081607963312e-5,0.0037746631118502896,0.9712535835493655,4,4,4,4,16
Energy Demand,1,0.00582295923859815,0.0001240565726439058,0.011138068622696926,0.7497079256854513,5,5,5,5,20
Plug-in Duration,2,0.05906682198711571,0.013847635230513187,0.11767597558768395,0.4165828999060871,3,1,1,1,6
Plug-in Duration,3,0.05912680107989754,0.013916976902393937,0.11797023735838602,0.4136614540093041,1,2,2,2,7
Plug-in Duration,1,0.05883513145533416,0.014359672837676236,0.11983185235018375,0.3950101554672505,2,3,3,3,11
