driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
40121731,2023-07-03T00:20:44.0,2023-07-03T07:00:49.0,19.812,UCSD / MESA NUEVO 1,1,weekday,0.34,7.0,19.812
35893241,2023-07-03T00:33:11.0,2023-07-03T08:55:02.0,34.454,UCSD / KECK,2,weekday,0.56,8.91,34.454
24097481,2023-07-03T05:12:43.0,2023-07-03T12:56:57.0,19.786,UCSD / GILMAN 2-4,1,weekday,5.2,12.93,19.786
33172241,2023-07-03T05:39:34.0,2023-07-03T12:21:55.0,25.341,UCSD / ARBOR PARKING 6,1,weekday,5.65,12.35,25.341
26267131,2023-07-03T05:39:52.0,2023-07-03T14:30:59.0,48.266,UCSD / NUEVO WEST 2-1,1,weekday,5.65,14.5,48.266
38625911,2023-07-03T05:41:59.0,2023-07-03T16:24:44.0,15.226,UCSD / GILMAN 2-2,2,weekday,5.69,16.39,15.226
22944681,2023-07-03T05:43:17.0,2023-07-03T08:15:19.0,8.815,UCSD / GILMAN 3-1,2,weekday,5.72,8.25,8.815
612049,2023-07-03T05:50:27.0,2023-07-03T08:27:14.0,2.927,UCSD / BACHMAN EV2,1,weekday,5.84,8.44,2.927
27535291,2023-07-03T05:53:26.0,2023-07-03T14:39:25.0,37.077,UCSD / NUEVO WEST 1-1,2,weekday,5.89,14.65,37.077
34751811,2023-07-03T05:55:20.0,2023-07-03T07:33:58.0,9.697,UCSD / RADY P357 1,1,weekday,5.92,7.55,9.697
27853421,2023-07-03T06:06:12.0,2023-07-03T17:18:13.0,29.421,UCSD / ECPS WEST,1,weekday,6.1,17.3,29.421
34702721,2023-07-03T06:15:30.0,2023-07-03T13:07:15.0,34.977,UCSD / ATHENA EV1,2,weekday,6.25,13.11,34.977
751315,2023-07-03T06:17:19.0,2023-07-03T07:52:58.0,3.472,UCSD / ATHENA EV1,1,weekday,6.29,7.86,3.472
767485,2023-07-03T06:17:45.0,2023-07-03T09:57:46.0,22.064,UCSD / SIO P001 1,2,weekday,6.29,9.94,22.064
33654581,2023-07-03T06:20:51.0,2023-07-03T15:52:41.0,6.16,UCSD / PANGEA 5-2,2,weekday,6.34,15.86,6.16
1894421,2023-07-03T06:22:58.0,2023-07-03T18:01:53.0,3.643,UCSD / NUEVO WEST 1-3,1,weekday,6.37,18.01,3.643
38524791,2023-07-03T06:34:47.0,2023-07-03T16:51:26.0,4.965,UCSD / ATHENA EV6,2,weekday,6.57,16.85,4.965
734243,2023-07-03T06:37:04.0,2023-07-03T11:37:15.0,17.853,UCSD / BACHMAN EV2,2,weekday,6.62,11.61,17.853
33805061,2023-07-03T06:48:53.0,2023-07-03T15:30:15.0,15.466,UCSD / ATHENA EV6,1,weekday,6.8,15.5,15.466
33935181,2023-07-03T06:51:22.0,2023-07-03T19:24:16.0,36.848,UCSD / ECPS WEST,2,weekday,6.85,19.39,36.848
35938791,2023-07-03T06:54:26.0,2023-07-03T11:15:58.0,25.813,UCSD / TORREYPINES S1,1,weekday,6.9,11.25,25.813
39664301,2023-07-03T06:54:34.0,2023-07-03T11:15:55.0,26.854,UCSD / P703 2,1,weekday,6.9,11.25,26.854
