driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
3587801,2023-06-25T01:15:55.0,2023-06-25T13:14:24.0,5.587,UCSD / MESA NUEVO 3,1,weekend,1.25,13.23,5.587
30423931,2023-06-25T04:14:27.0,2023-06-25T08:11:03.0,8.184,UCSD / PANGEA 5-2,2,weekend,4.24,8.18,8.184
612049,2023-06-25T05:44:41.0,2023-06-25T09:30:14.0,3.753,UCSD / BACHMAN EV2,1,weekend,5.74,9.5,3.753
39925391,2023-06-25T06:20:02.0,2023-06-25T06:39:14.0,1.217,UCSD / OSLER 3-3,1,weekend,6.34,6.65,1.217
29383931,2023-06-25T06:40:51.0,2023-06-25T12:34:05.0,32.21,UCSD / NUEVO WEST 1-1,1,weekend,6.67,12.56,32.21
2034371,2023-06-25T06:52:14.0,2023-06-25T16:11:16.0,7.591,UCSD / NUEVO WEST 2-3,2,weekend,6.87,16.18,7.591
24173251,2023-06-25T07:28:46.0,2023-06-25T08:33:19.0,3.153,UCSD / RADY P357 1,2,weekend,7.47,8.55,3.153
32250151,2023-06-25T07:57:02.0,2023-06-25T09:48:16.0,10.323,UCSD / GILMAN 3-1,2,weekend,7.95,9.8,10.323
305881,2023-06-25T08:18:59.0,2023-06-25T09:41:16.0,4.875,UCSD / ARBOR PARKING 6,1,weekend,8.31,9.68,4.875
26273851,2023-06-25T08:34:15.0,2023-06-25T11:56:26.0,20.251,UCSD / OSLER 3-3,2,weekend,8.57,11.93,20.251
35893241,2023-06-25T08:35:17.0,2023-06-25T13:52:18.0,23.691,UCSD / KECK,1,weekend,8.59,13.86,23.691
3009771,2023-06-25T08:36:04.0,2023-06-25T17:13:02.0,29.576,UCSD / ARBOR PARKING 6,2,weekend,8.6,17.21,29.576
28780491,2023-06-25T08:46:04.0,2023-06-25T15:42:21.0,42.363,UCSD / OSLER 4-1,2,weekend,8.77,15.7,42.363
25523761,2023-06-25T08:55:59.0,2023-06-25T10:02:22.0,5.515,UCSD / BIRCH AQUARIUM,1,weekend,8.92,10.03,5.515
27630421,2023-06-25T09:22:18.0,2023-06-25T12:38:53.0,13.157,UCSD / ATHENA EV2,1,weekend,9.37,12.63,13.157
