driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
32250151,2023-06-24T01:57:27.0,2023-06-24T04:54:50.0,12.915,UCSD / GILMAN 3-1,2,weekend,1.95,4.9,4.305
24593881,2023-06-24T03:45:21.0,2023-06-24T20:00:50.0,11.796,UCSD / CSC 1,1,weekend,3.75,20.0,3.932
30423931,2023-06-24T04:44:58.0,2023-06-24T08:20:16.0,8.32,UCSD / ATHENA EV5,2,weekend,4.74,8.33,2.7733333333333334
29156851,2023-06-24T06:47:30.0,2023-06-24T14:01:28.0,31.477,UCSD / BACHMAN EV2,1,weekend,6.79,14.01,10.492333333333333
23678131,2023-06-24T06:49:14.0,2023-06-24T12:58:03.0,36.193,UCSD / BACHMAN EV1,2,weekend,6.82,12.96,12.064333333333332
34216551,2023-06-24T06:56:22.0,2023-06-24T13:50:16.0,5.274,UCSD / BACHMAN EV2,2,weekend,6.94,13.83,1.758
474747,2023-06-24T07:08:17.0,2023-06-24T09:15:13.0,8.924,UCSD / GILMAN 2-2,2,weekend,7.14,9.25,2.9746666666666663
3633951,2023-06-24T07:19:25.0,2023-06-24T09:26:57.0,12.887,UCSD / OSLER 4-1,2,weekend,7.32,9.43,4.2956666666666665
305881,2023-06-24T07:40:51.0,2023-06-24T08:58:11.0,7.208,UCSD / ARBOR PARKING 6,1,weekend,7.67,8.96,2.4026666666666667
19830221,2023-06-24T07:53:46.0,2023-06-24T09:17:48.0,8.126,UCSD / GREENWICH 2,1,weekend,7.89,9.28,2.7086666666666663
2034371,2023-06-24T08:01:30.0,2023-06-24T17:07:36.0,7.459,UCSD / NUEVO WEST 2-2,2,weekend,8.02,17.11,2.486333333333333
3047441,2023-06-24T08:02:09.0,2023-06-24T14:42:59.0,13.998,UCSD / GILMAN 2-3,2,weekend,8.04,14.7,4.6659999999999995
32410771,2023-06-24T08:06:13.0,2023-06-24T12:10:21.0,15.626,UCSD / ECPS EAST,2,weekend,8.1,12.16,5.208666666666667
26273851,2023-06-24T08:10:52.0,2023-06-24T13:54:37.0,34.79,UCSD / OSLER 3-3,2,weekend,8.17,13.9,11.596666666666666
37005441,2023-06-24T08:18:46.0,2023-06-24T12:51:57.0,8.28,UCSD / SIO P001 1,1,weekend,8.31,12.85,2.76
2958091,2023-06-24T08:31:23.0,2023-06-24T17:36:53.0,27.397,UCSD / P610 2,2,weekend,8.52,17.6,9.132333333333333
27630421,2023-06-24T09:08:38.0,2023-06-24T13:29:09.0,17.374,UCSD / ECPS EAST,1,weekend,9.14,13.48,5.791333333333333
39012121,2023-06-24T09:19:11.0,2023-06-24T09:39:14.0,1.365,UCSD / GILMAN 2-4,2,weekend,9.32,9.65,0.455
39897301,2023-06-24T09:23:56.0,2023-06-24T13:33:13.0,13.534,UCSD / ECPS WEST,2,weekend,9.39,13.55,4.511333333333334
860822,2023-06-24T09:49:35.0,2023-06-24T12:23:11.0,15.21,UCSD / RADY P357 1,1,weekend,9.82,12.38,5.07
2245391,2023-06-24T09:56:49.0,2023-06-24T16:01:19.0,5.657,UCSD / ECPS WEST,1,weekend,9.94,16.01,1.8856666666666666
2006021,2023-06-24T10:08:17.0,2023-06-24T11:03:14.0,5.477,UCSD / P610 3,1,weekend,10.14,11.05,1.8256666666666668
2693181,2023-06-24T10:15:13.0,2023-06-24T12:40:40.0,13.907,UCSD / OSLER 3-3,1,weekend,10.25,12.66,4.635666666666666
1306301,2023-06-24T10:18:45.0,2023-06-24T12:23:23.0,5.283,UCSD / HUBBS HALL 1,1,weekend,10.3,12.38,1.7610000000000001
34628871,2023-06-24T10:21:09.0,2023-06-24T11:18:54.0,5.621,UCSD / SCHOLARS - 13,1,weekend,10.35,11.3,1.8736666666666668
33430471,2023-06-24T10:21:34.0,2023-06-24T11:07:23.0,4.685,UCSD / SIO P001 2,1,weekend,10.35,11.11,1.5616666666666665
39899421,2023-06-24T10:22:52.0,2023-06-24T11:15:23.0,4.55,UCSD / BIRCH AQUARIUM,2,weekend,10.37,11.25,1.5166666666666666
30361181,2023-06-24T10:29:30.0,2023-06-24T17:24:16.0,41.608,UCSD / NUEVO WEST 2-1,2,weekend,10.49,17.39,13.869333333333332
32754551,2023-06-24T10:31:46.0,2023-06-24T12:23:11.0,5.737,UCSD / GILMAN 2-2,2,weekend,10.52,12.38,1.9123333333333334
39503161,2023-06-24T10:37:23.0,2023-06-24T10:58:38.0,1.536,UCSD / GILMAN 2-4,2,weekend,10.62,10.96,0.512
4665911,2023-06-24T10:40:12.0,2023-06-24T11:47:10.0,5.926,UCSD / OSLER 4-1,2,weekend,10.67,11.78,1.9753333333333334
30423001,2023-06-24T11:20:54.0,2023-06-24T13:39:13.0,7.396,UCSD / ARBOR PARKING 6,2,weekend,11.34,13.65,2.465333333333333
1066451,2023-06-24T11:46:36.0,2023-06-24T18:45:53.0,12.135,UCSD / TORREYPINES C1,1,weekend,11.77,18.75,4.045
32594711,2023-06-24T12:01:51.0,2023-06-24T15:54:01.0,14.753,UCSD / SCHOLARS - 07,2,weekend,12.02,15.9,4.917666666666666
27571951,2023-06-24T12:38:04.0,2023-06-24T14:00:35.0,4.438,UCSD / SIO P001 2,2,weekend,12.64,14.0,1.4793333333333332
39903901,2023-06-24T12:38:50.0,2023-06-24T13:06:02.0,2.375,UCSD / GILMAN 2-4,2,weekend,12.64,13.1,0.7916666666666666
23075251,2023-06-24T12:41:12.0,2023-06-24T14:28:28.0,10.287,UCSD / RADY P357 3,2,weekend,12.69,14.46,3.4290000000000003
37186031,2023-06-24T12:48:11.0,2023-06-24T15:55:43.0,9.032,UCSD / ARBOR PARKING 2,2,weekend,12.8,15.91,3.010666666666667
28103391,2023-06-24T12:49:50.0,2023-06-24T15:10:14.0,10.097,UCSD / GILMAN 2-2,2,weekend,12.82,15.16,3.3656666666666664
35755001,2023-06-24T12:58:02.0,2023-06-24T18:40:12.0,2.183,UCSD / GILMAN 2-3,1,weekend,12.97,18.66,0.7276666666666666
20164061,2023-06-24T13:04:13.0,2023-06-24T14:25:37.0,2.678,UCSD / SOM P602 1,1,weekend,13.07,14.41,0.8926666666666666
39903901,2023-06-24T13:07:30.0,2023-06-24T17:31:24.0,25.745,UCSD / GILMAN 2-4,1,weekend,13.12,17.51,8.581666666666667
616487,2023-06-24T13:15:55.0,2023-06-24T16:56:16.0,22.22,UCSD / OSLER 4-2,1,weekend,13.25,16.93,7.406666666666666
20630511,2023-06-24T13:21:50.0,2023-06-24T17:50:47.0,3.724,UCSD / ARBOR PARKING 6,1,weekend,13.35,17.83,1.2413333333333334
22247951,2023-06-24T13:47:53.0,2023-06-24T16:56:10.0,10.0,UCSD / ECPS EAST,1,weekend,13.79,16.93,3.3333333333333335
22673091,2023-06-24T13:56:38.0,2023-06-24T15:10:10.0,6.579,UCSD / BIRCH AQUARIUM,1,weekend,13.94,15.16,2.193
39874221,2023-06-24T14:02:48.0,2023-06-24T14:41:31.0,3.659,UCSD / ATHENA EV1,2,weekend,14.04,14.68,1.2196666666666667
33619651,2023-06-24T14:12:34.0,2023-06-24T14:28:52.0,1.592,UCSD / SCHOLARS - 14,2,weekend,14.2,14.46,0.5306666666666667
26037341,2023-06-24T14:24:13.0,2023-06-24T17:26:27.0,9.568,UCSD / ECPS WEST,2,weekend,14.4,17.43,3.1893333333333334
29328831,2023-06-24T14:53:59.0,2023-06-24T16:25:40.0,9.493,UCSD / P610 1,2,weekend,14.89,16.41,3.1643333333333334
35735861,2023-06-24T15:01:44.0,2023-06-24T16:49:46.0,10.999,UCSD / SCHOLARS - 14,2,weekend,15.02,16.81,3.6663333333333337
34090381,2023-06-24T15:13:15.0,2023-06-24T19:31:14.0,6.124,UCSD / OSLER 4-1,1,weekend,15.22,19.51,2.041333333333333
28556521,2023-06-24T15:23:05.0,2023-06-24T16:36:21.0,7.171,UCSD / OSLER 3-3,2,weekend,15.39,16.6,2.3903333333333334
860822,2023-06-24T15:31:32.0,2023-06-24T20:19:09.0,18.524,UCSD / RADY P357 1,2,weekend,15.52,20.31,6.174666666666667
39526921,2023-06-24T15:37:22.0,2023-06-24T17:53:02.0,13.702,UCSD / UCSD MIRAMAR S1,1,weekend,15.62,17.88,4.567333333333333
35893241,2023-06-24T15:45:17.0,2023-06-24T17:45:42.0,11.681,UCSD / KECK,1,weekend,15.75,17.75,3.8936666666666664
4665911,2023-06-24T15:50:24.0,2023-06-24T16:28:23.0,3.147,UCSD / OSLER 4-3,1,weekend,15.84,16.46,1.049
34751811,2023-06-24T15:50:32.0,2023-06-24T16:46:12.0,3.05,UCSD / TORREYPINES S5,2,weekend,15.84,16.76,1.0166666666666666
39909021,2023-06-24T16:18:56.0,2023-06-24T17:38:13.0,7.429,UCSD / SOM P602 2,1,weekend,16.3,17.63,2.4763333333333333
37199141,2023-06-24T16:24:19.0,2023-06-24T17:55:13.0,8.701,UCSD / OSLER 3-2,1,weekend,16.4,17.91,2.9003333333333337
34628871,2023-06-24T16:34:30.0,2023-06-24T17:13:17.0,3.739,UCSD / SCHOLARS - 13,1,weekend,16.57,17.21,1.2463333333333333
35496291,2023-06-24T17:06:23.0,2023-06-24T19:42:14.0,15.246,UCSD / OSLER 3-3,1,weekend,17.11,19.7,5.082
1601431,2023-06-24T17:17:27.0,2023-06-24T18:13:13.0,5.045,UCSD / OSLER 4-2,2,weekend,17.29,18.21,1.6816666666666666
37578791,2023-06-24T17:30:32.0,2023-06-24T19:52:51.0,14.42,UCSD / NUEVO WEST 3-3,1,weekend,17.5,19.86,4.806666666666667
38803041,2023-06-24T17:30:55.0,2023-06-24T19:12:01.0,9.927,UCSD / NUEVO WEST 2-3,1,weekend,17.5,19.2,3.3089999999999997
39882071,2023-06-24T17:43:17.0,2023-06-24T17:57:19.0,1.352,UCSD / P610 1,2,weekend,17.72,17.95,0.4506666666666667
37731691,2023-06-24T17:45:01.0,2023-06-24T18:02:10.0,1.595,UCSD / SCHOLARS - 11,1,weekend,17.75,18.03,0.5316666666666666
34495901,2023-06-24T17:48:25.0,2023-06-24T18:43:13.0,2.706,UCSD / RADY P357 5,2,weekend,17.8,18.71,0.902
