day,method,case,t_idx,load_kw
2023-07-01,Perfect,EV,1,0.0
2023-07-01,Perfect,EV,2,0.0
2023-07-01,Perfect,EV,3,0.0
2023-07-01,Perfect,EV,4,6.6
2023-07-01,Perfect,EV,5,6.6
2023-07-01,Perfect,EV,6,13.2
2023-07-01,Perfect,EV,7,13.2
2023-07-01,Perfect,EV,8,13.2
2023-07-01,Perfect,EV,9,13.2
2023-07-01,Perfect,EV,10,13.2
2023-07-01,Perfect,EV,11,13.2
2023-07-01,Perfect,EV,12,19.8
2023-07-01,Perfect,EV,13,19.8
2023-07-01,Perfect,EV,14,19.8
2023-07-01,Perfect,EV,15,19.8
2023-07-01,Perfect,EV,16,19.8
2023-07-01,Perfect,EV,17,19.8
2023-07-01,Perfect,EV,18,19.8
2023-07-01,Perfect,EV,19,13.2
2023-07-01,Perfect,EV,20,13.2
2023-07-01,Perfect,EV,21,19.8
2023-07-01,Perfect,EV,22,6.62
2023-07-01,Perfect,EV,23,8.8763636
2023-07-01,Perfect,EV,24,15.976
2023-07-01,Perfect,EV,25,19.8
2023-07-01,Perfect,EV,26,6.6
2023-07-01,Perfect,EV,27,13.2
2023-07-01,Perfect,EV,28,22.212
2023-07-01,Perfect,EV,29,26.4
2023-07-01,Perfect,EV,30,26.4
2023-07-01,Perfect,EV,31,36.020727
2023-07-01,Perfect,EV,32,21.232364
2023-07-01,Perfect,EV,33,32.748
2023-07-01,Perfect,EV,34,51.315636
2023-07-01,Perfect,EV,35,49.529091
2023-07-01,Perfect,EV,36,70.323636
2023-07-01,Perfect,EV,37,62.12
2023-07-01,Perfect,EV,38,70.323636
2023-07-01,Perfect,EV,39,65.758909
2023-07-01,Perfect,EV,40,70.323636
2023-07-01,Perfect,EV,41,69.892
2023-07-01,Perfect,EV,42,68.324
2023-07-01,Perfect,EV,43,70.323636
2023-07-01,Perfect,EV,44,70.323636
2023-07-01,Perfect,EV,45,70.323636
2023-07-01,Perfect,EV,46,70.323636
2023-07-01,Perfect,EV,47,70.323636
2023-07-01,Perfect,EV,48,70.323636
2023-07-01,Perfect,EV,49,70.323636
2023-07-01,Perfect,EV,50,70.323636
2023-07-01,Perfect,EV,51,70.323636
2023-07-01,Perfect,EV,52,70.323636
2023-07-01,Perfect,EV,53,70.323636
2023-07-01,Perfect,EV,54,70.323636
2023-07-01,Perfect,EV,55,70.323636
2023-07-01,Perfect,EV,56,70.323636
2023-07-01,Perfect,EV,57,70.323636
2023-07-01,Perfect,EV,58,70.323636
2023-07-01,Perfect,EV,59,70.323636
2023-07-01,Perfect,EV,60,70.323636
2023-07-01,Perfect,EV,61,70.323636
2023-07-01,Perfect,EV,62,70.323636
2023-07-01,Perfect,EV,63,70.323636
2023-07-01,Perfect,EV,64,70.323636
2023-07-01,Perfect,EV,65,25.7564
2023-07-01,Perfect,EV,66,25.7564
2023-07-01,Perfect,EV,67,25.7564
2023-07-01,Perfect,EV,68,25.7564
2023-07-01,Perfect,EV,69,25.7564
2023-07-01,Perfect,EV,70,25.7564
2023-07-01,Perfect,EV,71,25.7564
2023-07-01,Perfect,EV,72,25.7564
2023-07-01,Perfect,EV,73,25.7564
2023-07-01,Perfect,EV,74,25.7564
2023-07-01,Perfect,EV,75,25.7564
2023-07-01,Perfect,EV,76,25.7564
2023-07-01,Perfect,EV,77,25.7564
2023-07-01,Perfect,EV,78,25.7564
2023-07-01,Perfect,EV,79,25.7564
2023-07-01,Perfect,EV,80,25.7564
2023-07-01,Perfect,EV,81,25.7564
2023-07-01,Perfect,EV,82,25.7564
2023-07-01,Perfect,EV,83,25.7564
2023-07-01,Perfect,EV,84,25.7564
2023-07-01,Perfect,EV,85,39.6
2023-07-01,Perfect,EV,86,39.6
2023-07-01,Perfect,EV,87,39.6
2023-07-01,Perfect,EV,88,36.132
2023-07-01,Perfect,EV,89,26.4
2023-07-01,Perfect,EV,90,13.2
2023-07-01,Perfect,EV,91,13.2
2023-07-01,Perfect,EV,92,0.544
2023-07-01,Perfect,EV,93,4.788
2023-07-01,Perfect,EV,94,6.6
2023-07-01,Perfect,EV,95,0.0
2023-07-01,Perfect,EV,96,0.0
