method,case,mean_cost,std_cost,mean_saving_pct,std_saving_pct,mean_peak,mean_energy,rank_in_case
Perfect,Charger,4158.197884472404,2832.6728478669606,43.06987455839155,3.1745147140261643,127.055156,1275.2960375,1
TCN,Charger,4275.108562586148,2591.840899681823,39.53471339833825,7.142877433746461,119.21340833333333,1251.2214396666666,2
Transformer,Charger,4358.874618536373,2737.7258804719822,39.03307829916502,3.6477108161148157,123.11048,1245.7661840833332,3
iTransformer,Charger,4376.599912213793,2739.969884893862,38.678273639042395,4.964800032079079,123.52095533333333,1244.7451592583332,4
GMM,Charger,4493.878223715476,3047.803726282786,38.42330151021829,2.8260307267527764,129.84591633333335,1284.1077530083332,5
Statistic,Charger,4653.0942142947,2863.7125920005033,34.68392925620664,2.4754519608182726,134.48504666666668,1281.974905975,6
LSTM,Charger,4668.510507440593,2502.457472073277,32.21803751879395,9.479418104183779,126.40388566666667,1226.4676430083332,7
Persistence,Charger,4688.431609961081,2883.6207892782686,34.18781609608009,2.3870158563024146,141.88503033333333,1327.5242143333332,8
Noforecast,Charger,5195.933167996064,3093.4371914593034,26.38296371711429,5.697010594627461,134.45012233333333,1237.5119993,9
Perfect,EV,4525.676294646347,3165.181432724053,38.467468533863574,4.458551848474885,126.07181866666667,1409.985662383333,1
GMM,EV,5120.759207146547,3297.1601627035166,28.772267527862326,5.129356582605583,136.46059466666665,1409.9856671333334,2
Statistic,EV,5223.869790516967,3312.2916917037996,27.241458740597533,1.259520545161332,137.41563833333333,1409.98566475,3
TCN,EV,5226.427260745027,3410.322508519954,27.408003115094342,8.04919409940538,126.890196,1409.9856645166667,4
Persistence,EV,5306.69917527436,3297.3104227188214,25.667547357743697,2.7304654672557795,146.14461599999998,1409.9856656583331,5
iTransformer,EV,5398.303345310433,3827.393475986584,26.76385386426463,7.877325736385647,130.48677899999998,1409.9856650833335,6
Transformer,EV,5494.04645819631,3889.1568043299417,25.414336775484077,8.272722515207727,132.978015,1409.9856662083332,7
LSTM,EV,6077.9611658709,3907.494687386262,15.160440605048592,11.162266639737766,138.54164266666666,1409.9856665333334,8
Noforecast,EV,6634.103041180258,4706.446487416848,10.035410898908808,9.333394142411905,149.22301466666667,1409.9856655499998,9
