station_name,port
UCSD / ARBOR PARKING 1,1
UCSD / ARBOR PARKING 1,2
UCSD / ARBOR PARKING 2,1
UCSD / ARBOR PARKING 2,2
UCSD / ARBOR PARKING 3,2
UCSD / ARBOR PARKING 5,1
UCSD / ARBOR PARKING 5,2
UCSD / ATHENA EV1,1
UCSD / ATHENA EV1,2
UCSD / ATHENA EV2,2
UCSD / ATHENA EV3,1
UCSD / ATHENA EV4,1
UCSD / ATHENA EV4,2
UCSD / ATHENA EV5,1
UCSD / ATHENA EV5,2
UCSD / ATHENA EV6,1
UCSD / ATHENA EV6,2
UCSD / BACHMAN EV2,1
UCSD / BACHMAN EV2,2
UCSD / BACHMAN EV3,1
UCSD / BACHMAN EV3,2
UCSD / BIRCH AQUARIUM,1
UCSD / BIRCH AQUARIUM,2
UCSD / CSC 1,1
UCSD / CSC 1,2
UCSD / ECPS EAST,1
UCSD / ECPS EAST,2
UCSD / ECPS WEST,1
UCSD / ECPS WEST,2
UCSD / FACULTY CLUB,2
UCSD / GILMAN 2-1,1
UCSD / GILMAN 2-1,2
UCSD / GILMAN 2-3,1
UCSD / GILMAN 2-3,2
UCSD / GILMAN 2-4,1
UCSD / GILMAN 3-1,1
UCSD / GILMAN 3-1,2
UCSD / GREENWICH 1,1
UCSD / GREENWICH 1,2
UCSD / GREENWICH 2,1
UCSD / MESA NUEVO 1,2
UCSD / MESA NUEVO 2,1
UCSD / MESA NUEVO 3,1
UCSD / MESA NUEVO 5,1
UCSD / MESA NUEVO 5,2
UCSD / NUEVO WEST 1-1,1
UCSD / NUEVO WEST 1-1,2
UCSD / NUEVO WEST 1-2,2
UCSD / NUEVO WEST 1-5,2
UCSD / NUEVO WEST 1-7,1
UCSD / NUEVO WEST 1-8,1
UCSD / NUEVO WEST 1-8,2
UCSD / NUEVO WEST 2-1,1
UCSD / NUEVO WEST 2-2,1
UCSD / NUEVO WEST 2-3,2
UCSD / NUEVO WEST 3-2,1
UCSD / NUEVO WEST 3-2,2
UCSD / NUEVO WEST 3-3,1
UCSD / NUEVO WEST 3-4,1
UCSD / OMS PARKING,1
UCSD / OSLER 1-1,1
UCSD / OSLER 2-1,1
UCSD / OSLER 2-1,2
UCSD / OSLER 2-2,1
UCSD / OSLER 2-2,2
UCSD / OSLER 2-3,1
UCSD / OSLER 2-3,2
UCSD / OSLER 2-4,1
UCSD / OSLER 3-1,2
UCSD / OSLER 3-2,1
UCSD / OSLER 3-2,2
UCSD / OSLER 3-3,1
UCSD / OSLER 3-3,2
UCSD / OSLER 4-1,1
UCSD / OSLER 4-1,2
UCSD / OSLER 4-2,1
UCSD / OSLER 4-2,2
UCSD / OSLER 4-3,1
UCSD / OSLER 4-3,2
UCSD / OSLER 4-4,1
UCSD / OSLER 4-4,2
UCSD / P703 4,1
UCSD / P703 4,2
UCSD / P703 5,1
UCSD / PANGEA 4-1,1
UCSD / PANGEA 4-4,2
UCSD / PANGEA 4-5,1
UCSD / PANGEA 5-2,1
UCSD / PANGEA 5-2,2
UCSD / PANGEA 5-3,1
UCSD / RADY P357 1,1
UCSD / RADY P357 1,2
UCSD / RADY P357 2,2
UCSD / RADY P357 3,2
UCSD / SCHOLARS - 01,2
UCSD / SCHOLARS - 05,2
UCSD / SCHOLARS - 07,1
UCSD / SCHOLARS - 07,2
UCSD / SCHOLARS - 08,1
UCSD / SCHOLARS - 08,2
UCSD / SCHOLARS - 09,1
UCSD / SCHOLARS - 09,2
UCSD / SCHOLARS - 10,1
UCSD / SCHOLARS - 10,2
UCSD / SCHOLARS - 11,1
UCSD / SCHOLARS - 11,2
UCSD / SCHOLARS - 14,1
UCSD / SCHOLARS - 14,2
UCSD / SIO P001 1,1
UCSD / SIO P001 1,2
UCSD / SIO P001 2,1
UCSD / SIO P001 2,2
UCSD / SOM P602 1,1
UCSD / SOM P602 1,2
UCSD / SOM P602 2,1
UCSD / SOM P602 2,2
UCSD / SOUTH MESA,1
UCSD / STATION 1,2
UCSD / TRADE STREET 1,2
UCSD / UCSD MIRAMAR S1,1
UCSD / UCSD MIRAMAR S1,2
UCSD SCRIPPS / A04 A05,1
