task,model,entity_count,train_target_days,validation_target_days,test_target_days,context_days,scope_energy_coverage,count_mae,energy_mae_kwh,energy_wape,arrival_mae_slots,departure_mae_slots,dwell_mae_slots,aggregate_daily_energy_mae_kwh,aggregate_daily_energy_wape,scope_test_energy_kwh,validation_masked_mse,parameter_count,runtime_seconds,seed
EV,SeasonalNaive,24,427,91,7,28,0.018849600174217086,0.01785714365541935,0.24650001525878906,3.6412558555603027,29.44110870361328,39.541664123535156,10.100555419921875,4.392000198364258,2.703244686126709,11.373000144958496,nan,0,9.374995715916157e-05,20260726
EV,Ridge,24,427,91,7,28,0.018849600174217086,0.11862112581729889,0.9431674480438232,13.932307243347168,35.451385498046875,34.4732666015625,11.414653778076172,20.58268165588379,12.668492317199707,11.373000144958496,nan,0,0.013785667018964887,20260726
EV,DLinear,24,427,91,7,28,0.018849600174217086,0.16912321746349335,0.4746813476085663,7.011911392211914,33.73257827758789,33.518333435058594,12.839836120605469,9.938141822814941,6.116855144500732,11.373000144958496,1.5945192034615079,83,0.29380808398127556,20260726
EV,LSTM,24,427,91,7,28,0.018849600174217086,0.16941770911216736,0.7474090456962585,11.040597915649414,46.362220764160156,64.39055633544922,18.02833366394043,15.314895629882812,9.42620849609375,11.373000144958496,1.4295781493374093,1577,0.7551179999718443,20260726
EV,TCN,24,427,91,7,28,0.018849600174217086,0.16520211100578308,0.9503522515296936,14.038439750671387,46.362220764160156,64.39055633544922,18.02833366394043,20.264148712158203,12.47243881225586,11.373000144958496,1.4483284822999962,1145,1.6059537080582231,20260726
EV,iTransformer,24,427,91,7,28,0.018849600174217086,0.07797805219888687,0.3285125494003296,4.852730751037598,46.362220764160156,64.39055633544922,18.02833366394043,5.112805366516113,3.146895170211792,11.373000144958496,1.415234390570193,3866,0.5531411250121891,20260726
Charger,SeasonalNaive,6,427,91,7,28,1.0,1.1190476417541504,12.01209545135498,0.8361710906028748,17.45730209350586,19.53731918334961,10.142256736755371,38.000572204589844,0.44087475538253784,603.3550415039062,nan,0,6.954104173928499e-05,20260726
Charger,Ridge,6,427,91,7,28,1.0,0.9841189384460449,12.512861251831055,0.871029794216156,10.831456184387207,8.38442325592041,8.390637397766113,38.85070037841797,0.45073774456977844,603.3550415039062,nan,0,0.005307790939696133,20260726
Charger,DLinear,6,427,91,7,28,1.0,1.1017699241638184,14.191739082336426,0.9878977537155151,16.473949432373047,19.662649154663086,9.36844253540039,56.65066146850586,0.6572492122650146,603.3550415039062,1.13868005595682,83,0.05628945794887841,20260726
Charger,LSTM,6,427,91,7,28,1.0,0.9640960693359375,11.799015998840332,0.8213384747505188,8.188814163208008,7.050504684448242,8.353070259094238,29.353120803833008,0.3405488133430481,603.3550415039062,0.9552871043547924,1577,0.1922722909366712,20260726
Charger,TCN,6,427,91,7,28,1.0,1.0759737491607666,11.527259826660156,0.8024213314056396,8.260232925415039,7.445183753967285,8.386524200439453,31.96928596496582,0.3709010183811188,603.3550415039062,0.9065857858368844,1145,0.40463787503540516,20260726
Charger,iTransformer,6,427,91,7,28,1.0,0.9869031310081482,12.617329597473145,0.8783019781112671,15.3910551071167,11.025238990783691,8.977730751037598,39.28265380859375,0.45574918389320374,603.3550415039062,0.9320064990551441,3866,0.14038316695950925,20260726
Charger,GraphGNN,6,427,91,7,28,1.0,1.0122967958450317,12.534537315368652,0.872538685798645,8.909041404724121,7.254090309143066,9.243781089782715,35.62378692626953,0.4132997989654541,603.3550415039062,0.9083303740530303,1813,0.14340291696134955,20260726
