target_day,method,actual_session_count,forecast_session_count,matched_session_count,count_mae_per_charger,arrival_mae_slots,departure_mae_slots,energy_mae_kwh,arrival_upper_coverage,departure_lower_coverage,energy_upper_coverage
2023-07-01,Persistence,7.0,7.0,4.0,1.0,4.5,9.25,3.00075,,,
2023-07-01,HistoricalMedian,7.0,10.0,5.0,1.1666666666666667,4.6,9.8,2.8340000000000005,1.0,1.0,1.0
2023-07-01,ConformalRobust,7.0,10.0,5.0,1.1666666666666667,14.4,17.0,4.616,,,
2023-07-02,Persistence,8.0,10.0,6.0,1.0,6.5,8.833333333333334,4.006,,,
2023-07-02,HistoricalMedian,8.0,11.0,6.0,1.1666666666666667,9.0,10.0,4.7455,0.8333333333333334,0.8333333333333334,1.0
2023-07-02,ConformalRobust,8.0,11.0,6.0,1.1666666666666667,18.333333333333332,15.5,9.525833333333333,,,
2023-07-03,Persistence,12.0,9.0,7.0,1.1666666666666667,4.857142857142857,7.714285714285714,5.835,,,
2023-07-03,HistoricalMedian,12.0,11.0,9.0,0.8333333333333334,8.88888888888889,9.11111111111111,7.008,1.0,0.7777777777777778,0.8888888888888888
2023-07-03,ConformalRobust,12.0,11.0,9.0,0.8333333333333334,23.88888888888889,15.11111111111111,10.46888888888889,,,
2023-07-04,Persistence,3.0,10.0,2.0,1.5,29.0,19.5,11.9145,,,
2023-07-04,HistoricalMedian,3.0,11.0,3.0,1.3333333333333333,19.333333333333332,9.666666666666666,8.700666666666667,0.6666666666666666,1.0,1.0
2023-07-04,ConformalRobust,3.0,11.0,3.0,1.3333333333333333,21.0,19.0,3.829333333333333,,,
2023-07-05,Persistence,7.0,5.0,4.0,0.6666666666666666,0.75,8.75,3.3070000000000004,,,
2023-07-05,HistoricalMedian,7.0,12.0,7.0,0.8333333333333334,6.142857142857143,7.0,3.9972142857142856,1.0,1.0,0.8571428571428571
2023-07-05,ConformalRobust,7.0,12.0,7.0,0.8333333333333334,18.285714285714285,8.0,14.429,,,
2023-07-06,Persistence,12.0,6.0,5.0,1.3333333333333333,7.6,11.0,12.6976,,,
2023-07-06,HistoricalMedian,12.0,13.0,9.0,1.1666666666666667,8.333333333333334,9.444444444444445,5.0104999999999995,0.7777777777777778,1.0,1.0
2023-07-06,ConformalRobust,12.0,13.0,9.0,1.1666666666666667,16.0,11.666666666666666,7.523333333333334,,,
2023-07-07,Persistence,9.0,13.0,7.0,1.3333333333333333,6.285714285714286,13.571428571428571,10.051714285714285,,,
2023-07-07,HistoricalMedian,9.0,13.0,8.0,1.0,4.25,8.25,4.9203125,1.0,1.0,1.0
2023-07-07,ConformalRobust,9.0,13.0,8.0,1.0,13.75,9.875,9.486875,,,
2023-07-08,Persistence,7.0,7.0,4.0,1.0,8.0,7.75,0.4232499999999999,,,
2023-07-08,HistoricalMedian,7.0,9.0,5.0,1.0,13.6,9.4,4.0501000000000005,1.0,1.0,1.0
2023-07-08,ConformalRobust,7.0,9.0,5.0,1.0,25.4,18.8,7.301400000000001,,,
2023-07-09,Persistence,4.0,8.0,4.0,0.6666666666666666,4.75,7.0,2.1375,,,
2023-07-09,HistoricalMedian,4.0,10.0,3.0,1.3333333333333333,2.6666666666666665,5.0,1.5376666666666667,1.0,1.0,1.0
2023-07-09,ConformalRobust,4.0,10.0,3.0,1.3333333333333333,19.666666666666668,15.333333333333334,3.345,,,
2023-07-10,Persistence,5.0,12.0,4.0,1.5,9.75,12.0,9.282,,,
2023-07-10,HistoricalMedian,5.0,12.0,5.0,1.1666666666666667,12.6,12.6,6.2585,0.8,1.0,1.0
2023-07-10,ConformalRobust,5.0,12.0,5.0,1.1666666666666667,14.0,9.6,13.021200000000002,,,
2023-07-11,Persistence,9.0,3.0,3.0,1.0,19.0,4.0,10.446666666666667,,,
2023-07-11,HistoricalMedian,9.0,8.0,7.0,0.5,5.571428571428571,5.142857142857143,9.335857142857142,1.0,1.0,0.7142857142857143
2023-07-11,ConformalRobust,9.0,8.0,7.0,0.5,17.142857142857142,10.571428571428571,17.420714285714286,,,
2023-07-12,Persistence,6.0,7.0,5.0,0.5,6.0,11.6,2.6154,,,
2023-07-12,HistoricalMedian,6.0,10.0,6.0,0.6666666666666666,9.333333333333334,12.166666666666666,4.3005,1.0,1.0,1.0
2023-07-12,ConformalRobust,6.0,10.0,6.0,0.6666666666666666,8.0,12.333333333333334,12.561833333333334,,,
2023-07-13,Persistence,16.0,12.0,10.0,1.3333333333333333,12.3,12.8,9.4884,,,
2023-07-13,HistoricalMedian,16.0,12.0,10.0,1.3333333333333333,14.5,13.8,6.12245,0.8,0.8,0.9
2023-07-13,ConformalRobust,16.0,12.0,10.0,1.3333333333333333,23.1,17.9,9.1211,,,
2023-07-14,Persistence,8.0,9.0,6.0,0.8333333333333334,8.5,4.833333333333333,7.2043333333333335,,,
2023-07-14,HistoricalMedian,8.0,11.0,7.0,0.8333333333333334,6.428571428571429,6.428571428571429,7.706142857142857,0.8571428571428571,1.0,0.8571428571428571
2023-07-14,ConformalRobust,8.0,11.0,7.0,0.8333333333333334,13.428571428571429,7.857142857142857,11.597285714285714,,,
2023-07-15,Persistence,3.0,7.0,3.0,0.6666666666666666,13.0,14.0,1.0836666666666668,,,
2023-07-15,HistoricalMedian,3.0,8.0,3.0,0.8333333333333334,9.0,10.333333333333334,0.741,1.0,1.0,1.0
