case,repeat,charger_count,sessions_per_charger,session_count,ev_variable_count,charger_variable_count,objective_gap,max_load_gap_kw,ev_runtime_seconds,charger_runtime_seconds,runtime_ratio_ev_over_charger
6x2,1,6,2,12,1154,1154,-6.821210263296962e-13,5.684341886080801e-13,0.01581616699695587,0.019940500031225383,0.7931680234792957
6x2,2,6,2,12,1154,1154,-6.821210263296962e-13,5.684341886080801e-13,0.014213999966159463,0.019639625097624958,0.7237409011375873
6x2,3,6,2,12,1154,1154,-6.821210263296962e-13,5.684341886080801e-13,0.01421429100446403,0.019693334004841745,0.7217818476530864
6x4,1,6,4,24,2306,1154,-2.7284841053187847e-12,3.694822225952521e-13,0.022625416982918978,0.019173459033481777,1.1800383511086443
6x4,2,6,4,24,2306,1154,-2.7284841053187847e-12,3.694822225952521e-13,0.022204082924872637,0.0191283340100199,1.1607954416334212
6x4,3,6,4,24,2306,1154,-2.7284841053187847e-12,3.694822225952521e-13,0.02222937496844679,0.01909199997317046,1.164329300213975
6x8,1,6,8,48,4610,1154,-2.7284841053187847e-12,6.785683126508957e-13,0.04231083393096924,0.02171845908742398,1.9481508223329354
6x8,2,6,8,48,4610,1154,-2.7284841053187847e-12,6.785683126508957e-13,0.041951708029955626,0.021426749997772276,1.9579127975225974
6x8,3,6,8,48,4610,1154,-2.7284841053187847e-12,6.785683126508957e-13,0.041547833010554314,0.021298833074979484,1.95070935878464
12x2,1,12,2,24,2306,2306,-2.0463630789890885e-12,2.3021584638627246e-12,0.026314583024941385,0.03706833394244313,0.7098938696786495
12x2,2,12,2,24,2306,2306,-2.0463630789890885e-12,2.3021584638627246e-12,0.026253041112795472,0.03698712505865842,0.7097886378343922
12x2,3,12,2,24,2306,2306,-2.0463630789890885e-12,2.3021584638627246e-12,0.026207749964669347,0.03710175002925098,0.706375034708799
12x4,1,12,4,48,4610,2306,0.0,2.4016344468691386e-12,0.04339433298446238,0.03594287496525794,1.2073139120453484
12x4,2,12,4,48,4610,2306,0.0,2.4016344468691386e-12,0.043191084056161344,0.03681170800700784,1.1732974750299299
12x4,3,12,4,48,4610,2306,0.0,2.4016344468691386e-12,0.04302250000182539,0.0360254580155015,1.1942249279193928
12x8,1,12,8,96,9218,2306,0.0,2.0961010704922955e-12,0.08577283297199756,0.04136766598094255,2.0734269371521177
12x8,2,12,8,96,9218,2306,0.0,2.0961010704922955e-12,0.08820354100316763,0.04245412501040846,2.0776200423761604
12x8,3,12,8,96,9218,2306,0.0,2.0961010704922955e-12,0.08678083296399564,0.041956375003792346,2.0683586929555213
24x8,1,24,8,192,18434,4610,0.0,8.44124770082999e-12,0.1810940420255065,0.08198812499176711,2.208783796966831
24x8,2,24,8,192,18434,4610,0.0,8.44124770082999e-12,0.17745179100893438,0.0819052909500897,2.166548570312356
24x8,3,24,8,192,18434,4610,0.0,8.44124770082999e-12,0.1771131670102477,0.08182641596067697,2.164498651576801
